category,pairs,rows,support_level,safe_score_mean,risky_score_mean,pair_margin_mean,pair_margin_median,pair_ranking_correct,pair_ranking_accuracy,mean_correct_seed_ranking_count,accuracy_0_35,precision_0_35,recall_0_35,f1_0_35,tn_0_35,fp_0_35,fn_0_35,tp_0_35,accuracy_0_5,precision_0_5,recall_0_5,f1_0_5,tn_0_5,fp_0_5,fn_0_5,tp_0_5
amount_mismatch,1,2,very_low_support,0.24647779762744904,0.2799450755119324,0.03346727788448334,0.03346727788448334,1,1.0,5.0,0.5,0.0,0.0,0.0,1,0,1,0,0.5,0.0,0.0,0.0,1,0,1,0
argument_mismatch,1,2,very_low_support,0.276309072971344,0.6769344210624695,0.4006253480911255,0.4006253480911255,1,1.0,5.0,1.0,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,1,0,0,1
body_or_subject_mismatch,1,2,very_low_support,0.25855931639671326,0.7235513925552368,0.46499207615852356,0.46499207615852356,1,1.0,5.0,1.0,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,1,0,0,1
date_or_time_mismatch,1,2,very_low_support,0.4574594497680664,0.4851457476615906,0.02768629789352417,0.02768629789352417,1,1.0,5.0,0.5,0.5,1.0,0.6666666666666666,0,1,0,1,0.5,0.0,0.0,0.0,1,0,1,0
object_or_record_id_mismatch,1,2,very_low_support,0.49070414900779724,0.45275694131851196,-0.03794720768928528,-0.03794720768928528,0,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,0,1,0,1,0.5,0.0,0.0,0.0,1,0,1,0
permission_or_scope_mismatch,1,2,very_low_support,0.2986989915370941,0.3697110414505005,0.07101204991340637,0.07101204991340637,1,1.0,4.0,1.0,1.0,1.0,1.0,1,0,0,1,0.5,0.0,0.0,0.0,1,0,1,0
placeholder_only_or_subtle_argument_mismatch,1,2,very_low_support,0.23878593742847443,0.26401376724243164,0.025227829813957214,0.025227829813957214,1,1.0,5.0,0.5,0.0,0.0,0.0,1,0,1,0,0.5,0.0,0.0,0.0,1,0,1,0
recipient_mismatch,1,2,very_low_support,0.31011033058166504,0.32196906208992004,0.011858731508255005,0.011858731508255005,1,1.0,4.0,0.5,0.0,0.0,0.0,1,0,1,0,0.5,0.0,0.0,0.0,1,0,1,0
tool_mismatch,13,26,exploratory_support,0.22998973154104674,0.8418863094769992,0.6118965779359524,0.6293653100728989,13,1.0,5.0,1.0,1.0,1.0,1.0,13,0,0,13,1.0,1.0,1.0,1.0,13,0,0,13
